timestamp,open_price,high_price,low_price,close_price,volume,avg_sentiment,price_change
2025-04-11 11:40:00,194.7,194.9595,194.025,194.63,763948.0,0.0,0.32500000000001705
2025-04-11 11:45:00,194.59,195.27,194.5548,194.955,1066216.0,0.0,-0.17210000000000036
2025-04-11 11:50:00,194.9201,195.22,194.45,194.7829,770526.0,0.0,0.8570999999999742
2025-04-11 11:55:00,194.8,195.66,194.8,195.64,862476.0,0.0,0.9050000000000011
2025-04-11 12:00:00,195.63,196.64,195.21,196.545,1106550.0,0.0,-0.32499999999998863
2025-04-11 12:05:00,196.55,197.68,196.17,196.22,1931882.0,0.0,-0.3580000000000041
2025-04-11 12:10:00,196.22,196.6404,195.8405,195.862,1078988.0,0.0,1.148300000000006
2025-04-11 12:15:00,195.87,197.08,195.6101,197.0103,1003243.0,0.0,-0.9147000000000105
2025-04-11 12:20:00,197.01,197.07,196.04,196.0956,700217.0,0.0,-0.29460000000000264
2025-04-11 12:25:00,196.084,196.37,195.63,195.801,784971.0,0.0,1.4590000000000032
2025-04-11 12:30:00,195.82,197.38,195.81,197.26,871655.0,0.0,0.25
2025-04-11 12:35:00,197.232,198.18,197.232,197.51,994162.0,0.0,0.27000000000001023
2025-04-11 12:40:00,197.525,197.91,197.0343,197.78,707761.0,0.0,1.259999999999991
2025-04-11 12:45:00,197.85,199.1,197.72,199.04,1237427.0,0.0,0.12999999999999545
2025-04-11 12:50:00,199.0895,199.286,198.29,199.17,1321849.0,0.0,-0.7007999999999868
2025-04-11 12:55:00,199.22,199.35,198.25,198.4692,1010655.0,0.0,-0.12919999999999732
2025-04-11 13:00:00,198.49,198.7,197.6301,198.34,714901.0,0.0,0.030000000000001137
2025-04-11 13:05:00,198.34,198.88,197.91,198.37,668627.0,0.0,-0.21000000000000796
2025-04-11 13:10:00,198.35,198.52,197.84,198.16,574035.0,0.0,-0.5250000000000057
2025-04-11 13:15:00,198.155,198.39,197.3,197.635,769635.0,0.0,-0.375
2025-04-11 13:20:00,197.615,198.05,196.9426,197.26,718082.0,0.0,-0.4292999999999836
2025-04-11 13:25:00,197.25,197.44,196.58,196.8307,683955.0,0.0,-0.28069999999999595
2025-04-11 13:30:00,196.83,197.1,196.0379,196.55,833800.0,0.0,1.2299999999999898
2025-04-11 13:35:00,196.51,197.87,196.2,197.78,802418.0,0.0,1.3830999999999847
2025-04-11 13:40:00,197.78,199.54,197.736,199.1631,1278298.0,0.0,-0.6384999999999934
2025-04-11 13:45:00,199.14,199.23,197.72,198.5246,867868.0,0.0,0.1453999999999951
2025-04-11 13:50:00,198.5402,198.96,198.0831,198.67,621974.0,0.0,-0.4099999999999966
2025-04-11 13:55:00,198.685,198.83,198.01,198.26,614648.0,0.0,-0.12999999999999545
2025-04-11 14:00:00,198.2643,198.45,197.67,198.13,639619.0,0.0,-0.1599999999999966
2025-04-11 14:05:00,198.12,198.18,197.29,197.97,558368.0,0.0,0.21999999999999886
2025-04-11 14:10:00,197.91,198.64,197.67,198.19,547222.0,0.0,-0.6488999999999976
2025-04-11 14:15:00,198.185,198.38,197.28,197.5411,507787.0,0.0,0.008900000000011232
2025-04-11 14:20:00,197.4958,197.85,197.0,197.55,498414.0,0.0,0.030000000000001137
2025-04-11 14:25:00,197.535,197.6899,196.97,197.58,433489.0,0.0,0.1799999999999784
2025-04-11 14:30:00,197.6,197.9191,197.421,197.76,338375.0,0.0,0.17010000000001924
2025-04-11 14:35:00,197.74,198.33,197.54,197.9301,487289.0,0.0,0.2698999999999785
2025-04-11 14:40:00,197.93,198.48,197.93,198.2,448345.0,0.0,0.13500000000001933
2025-04-11 14:45:00,198.22,198.66,198.11,198.335,484205.0,0.0,-0.2950000000000159
2025-04-11 14:50:00,198.37,198.42,197.4018,198.04,486261.0,0.0,-0.5
2025-04-11 14:55:00,198.06,198.24,197.4,197.54,375202.0,0.0,0.6599999999999966
2025-04-11 15:00:00,197.545,198.49,197.49,198.2,511702.0,0.7351,0.30000000000001137
2025-04-11 15:05:00,198.1804,198.6317,197.92,198.5,653148.0,0.7351,0.09999999999999432
2025-04-11 15:10:00,198.5,198.79,198.21,198.6,501961.0,0.7351,-0.0049999999999954525
2025-04-11 15:15:00,198.66,198.72,197.915,198.595,634108.0,0.7351,0.2400000000000091
2025-04-11 15:20:00,198.645,198.9499,198.48,198.835,606843.0,0.7351,-0.492999999999995
2025-04-11 15:25:00,198.835,198.93,198.33,198.342,702391.0,0.7351,-0.09040000000001669
2025-04-11 15:30:00,198.35,198.39,197.66,198.2516,806231.0,0.7351,-0.2716000000000065
2025-04-11 15:35:00,198.23,198.26,197.5414,197.98,782437.0,0.7351,0.13000000000002387
2025-04-11 15:40:00,197.975,198.2,197.7,198.11,762980.0,0.7351,-0.07500000000001705
2025-04-11 15:45:00,198.11,198.21,197.62,198.035,827179.0,0.7351,0.7750000000000057
2025-04-11 15:50:00,198.04,199.0,197.68,198.81,1799550.0,0.7351,-0.789999999999992
2025-04-11 15:55:00,198.76,199.3,197.55,198.02,4641127.0,0.7351,0.0782999999999845
2025-04-11 16:00:00,198.02,198.61,197.56,198.0983,20901695.0,0.0,-0.1483000000000061
2025-04-11 16:05:00,198.08,198.15,197.85,197.95,2194776.0,0.0,-0.04999999999998295
2025-04-11 16:10:00,197.95,198.1545,197.8,197.9,40656.0,0.0,0.11050000000000182
2025-04-11 16:15:00,198.15,247.38,197.8,198.0105,19736.0,0.0,-0.04050000000000864
2025-04-11 16:20:00,198.06,198.15,197.9,197.97,45824.0,0.0,0.11000000000001364
2025-04-11 16:25:00,197.97,198.15,197.9,198.08,6458.0,0.0,0.009999999999990905
2025-04-11 16:30:00,198.09,198.15,198.01,198.09,467128.0,0.0,0.21000000000000796
2025-04-11 16:35:00,198.15,198.44,198.0201,198.3,14326.0,0.0,-0.05000000000001137
2025-04-11 16:40:00,198.33,198.44,198.15,198.25,19233.0,0.0,-0.05000000000001137
2025-04-11 16:45:00,198.2,198.44,138.0645,198.2,77253.0,0.0,-0.1699999999999875
2025-04-11 16:50:00,198.25,221.3802,189.0331,198.03,17229.0,0.0,-0.020000000000010232
2025-04-11 16:55:00,198.03,222.3216,189.0331,198.01,9021.0,0.0,0.040000000000020464
2025-04-11 17:00:00,198.05,226.1463,138.0645,198.05,7527.0,0.0,0.009999999999990905
2025-04-11 17:05:00,216.7766,216.7766,197.94,198.06,7920.0,0.0,-0.009999999999990905
2025-04-11 17:10:00,198.06,198.06,197.93,198.05,3317.0,0.0,-0.05000000000001137
